"Ejemplo,AFI,Interpretaciones,Clasificación"
"de.ló.ro,deˈloɾo,de loro / del oro,Ambigüedad silábica"
"ya.yér.ba.su.su.rán.te.co.mou.nrí.o,ʝaˈʝeɾβa.su.suˈɾan.te.koˈmown.ˈɾi.o,y a hierba susurrante como un río / ya ayer va susurrante como un río,Ambigüedad silábica"
"ejemplo3,eˈxemplo3,Interpretación3a / Interpretación3b,Ambigüedad silábica"
"ejemplo4,eˈxemplo4,Interpretación4a / Interpretación4b,Ambigüedad silábica"
"ejemplo5,eˈxemplo5,Interpretación5a / Interpretación5b,Ambigüedad silábica"
"ejemplo6,eˈxemplo6,Interpretación6a / Interpretación6b,Ambigüedad silábica"
"ejemplo7,eˈxemplo7,Interpretación7a / Interpretación7b,Ambigüedad silábica"
"ejemplo8,eˈxemplo8,Interpretación8a / Interpretación8b,Ambigüedad silábica"
"ejemplo9,eˈxemplo9,Interpretación9a / Interpretación9b,Ambigüedad silábica"
"ejemplo10,eˈxemplo10,Interpretación10a / Interpretación10b,Ambigüedad silábica"
"ejemplo11,eˈxemplo11,Interpretación11a / Interpretación11b,Ambigüedad silábica"
"ejemplo12,eˈxemplo12,Interpretación12a / Interpretación12b,Ambigüedad silábica"
"ejemplo13,eˈxemplo13,Interpretación13a / Interpretación13b,Ambigüedad silábica"
"ejemplo14,eˈxemplo14,Interpretación14a / Interpretación14b,Ambigüedad silábica"
"ejemplo15,eˈxemplo15,Interpretación15a / Interpretación15b,Ambigüedad silábica"
"ejemplo16,eˈxemplo16,Interpretación16a / Interpretación16b,Ambigüedad silábica"
"ejemplo17,eˈxemplo17,Interpretación17a / Interpretación17b,Ambigüedad silábica"
"ejemplo18,eˈxemplo18,Interpretación18a / Interpretación18b,Ambigüedad silábica"
"ejemplo19,eˈxemplo19,Interpretación19a / Interpretación19b,Ambigüedad silábica"
"ejemplo20,eˈxemplo20,Interpretación20a / Interpretación20b,Ambigüedad silábica"
"ejemplo21,eˈxemplo21,Interpretación21a / Interpretación21b,Ambigüedad silábica"
"ejemplo22,eˈxemplo22,Interpretación22a / Interpretación22b,Ambigüedad silábica"
"ejemplo23,eˈxemplo23,Interpretación23a / Interpretación23b,Ambigüedad silábica"
"ejemplo24,eˈxemplo24,Interpretación24a / Interpretación24b,Ambigüedad silábica"
"ejemplo25,eˈxemplo25,Interpretación25a / Interpretación25b,Ambigüedad silábica"
